company,job-title,level,job-description
CloudPanel Technologies,Python Developer,Entry level,"# In-depth knowledge in Python with Django building end to end applications development.# Experience in Web technologies-HTML, CSS, Javascript.# Database - MySQL/PostGres/ No SQL database.# Good understanding of Algorithms, data structures.# Knowledge in ORM (Object Relational Mapper) libraries.# Experience in integrating multiple data sources and databases into one system.# Knowledge in version control tools like GIT.# Experience with various cloud technologies. Skills:- Python, Django and RESTful APIs"
WNS,Python Developer,Mid-Senior level,"Company DescriptionWNS (Holdings) Limited (NYSE: WNS), is a leading Business Process Management (BPM) company. We combine our deep industry knowledge with technology and analytics expertise to co-create innovative, digital-led transformational solutions with clients across 10 industries. We enable businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities to re-imagine their digital future and transform their outcomes with operational excellence.We deliver an entire spectrum of BPM services in finance and accounting, procurement, customer interaction services and human resources leveraging collaborative models that are tailored to address the unique business challenges of each client. We co-create and execute the future vision of 400+ clients with the help of our 44,000+ employees. Job Description7 - 9 years of experience as a Python Developer with a strong understanding of Python programming concepts and best practiceBachelor’s Degree/B.Tech/B.E in Computer Science or a related disciplineDesign, develop, and maintain robust and scalable Python-based applications, tools, and frameworks that integrate machine learning models and algorithmsDemonstrated expertise in developing machine learning solutions, including feature selection, model training, and evaluationProficiency in data manipulation libraries (e.g., Pandas, NumPy) and machine learning frameworks (e.g., Scikit-learn, TensorFlow, PyTorch, Keras)Experience with web frameworks like Django or FlaskContribute to the architecture and design of data-driven solutions, ensuring they meet both functional and non-functional requirementsExperience with databases such as MS-SQL Server, PostgreSQL or MySQL.Solid knowledge of OLTP and OLAP conceptsExperience with CI/CD tooling (at least Git and Jenkins)Experience with the Agile/Scrum/Kanban way of workingSelf-motivated and hard-workingKnowledge of performance testing frameworks including Mocha and Jest.Knowledge of RESTful APIs.Understanding of AWS and Azure Cloud servicesExperience with chatbot and NLU / NLP based application is required"
[x]cube LABS,Python Developer,Mid-Senior level,"Job Description3 - 4 years of hands-on Python programming & libraries like PyData, PandasExposure to Mongo DBExperience in writing Unit Test casesExpertise in writing medium/advanced SQL Database queriesStrong Verbal/Written communication skillsAbility to work with onsite counterpart teamsSkills:- Django, Flask, PyData, pandas, MongoDB, Unit testing and SQL"
1E9 Advisors,Junior Python Developer,Associate,"1E9 Advisors is hiring Python Freshers.ResponsibilitiesDevelop applicationsTest codeWrite documentationDeploy applicationsMaintain live servicesCore Requirementsa Bachelors / Masters degree in Computer Science / EngineeringCuriosityAnalytical skillsObsession with detailsExcellent communication skillsYou can read more, register and apply to take an assessment at https://enine.school/applySkills:- Django, Flask, MySQL and PostgreSQL"
EXL,Python Developer,Mid-Senior level,"We are seeking a talented Python Developer with a strong foundation in software development and a keen interest in artificial intelligence and machine learning. As a Python Developer at EXL you will have the opportunity to work on diverse projects and collaborate with cross-functional teams to deliver high-quality data driven solutions built on top of AI including Generative AI. You will have to write efficient, reusable codes, collaborate with teams to define project requirements, and implement solutions aligned with business goals. Your main objective would be to build scalable apps by integrating APIs, ensure code quality through testing, and stay updated on emerging technologies for continual improvement. Responsibilities: Develop and maintain scalable and robust Python applications and services. Collaborate with software engineers, data scientists, and other stakeholders to integrate AI/ML components into software solutions. Assist in implementing AI/ML algorithms and models using Python-based libraries and frameworks. Participate in code reviews, testing, and debugging activities to ensure the quality and reliability of software products. Stay updated on emerging technologies and trends in AI/ML to contribute insights and ideas for enhancing our products and services. Work closely with data engineers to access, preprocess, and analyze data for AI/ML model development. Document code, processes, and best practices to facilitate knowledge sharing and collaboration within the team. Provide support and assistance to other team members as needed.  Qualifications: 5+ years of experience in Python programming language with familiarity in software development methodologies, tools, and best practices. Strong exposure in understanding concepts in artificial intelligence and machine learning. Strong proficiency in python programming for ML development Hand on experience working with ML frameworks (Tensor, Scikit, etc.) Knowledge of Azure cloud and especially working with Azure ML studio and cognitive services. Knowledge on working with SQL, NO SQL Databases and REST APIs Knowledge on Generative AI leveraging Open AI as well as open source LLM is preferred. Working knowledge of different types of data (structured, semi-structured, and unstructured) Expertise in python frameworks such as Fast API, Flask and Django. Strong knowledge of working with huge data sets and data analysis with Pandas and NumPy as well as with Python ORM Libraries Excellent problem-solving skills and attention to detail. Ability to communicate effectively with diverse clients/stakeholders. Education Background: Bachelor’s or master’s degree in computer science, Engineering, or a related field. Tier I/II candidates preferred."
Turing,Remote Python Programmer,Entry level,"A renowned US-based client seeks a dedicated Python Developer.The chosen candidate will lead the process of peer code reviews, fostering a collaborative environment where constructive feedback is provided to enhance code quality.Job Responsibilities:Develop efficient Python code to address problems effectivelyApply business acumen and analytical skills to extract meaningful insights from public databasesArticulate reasoning and logic coherently when writing code in Jupyter notebooks or similar platformsCollaborate closely with researchers to exchange ideas and insightsMaintain thorough documentation for all developed codeUtilize data analysis expertise to formulate responses to significant business inquiries using diverse datasets, including those from Kaggle, the UN, and the US government.Job Requirements:Open to applicants of all levels, from junior to industry expertsBachelor's degree in Engineering, Computer Science, or equivalent practical experienceGood grasp of Python programming language for coding and debugging purposesAbility to handle intermediate-level Python coding tasks and grasp algorithmic conceptsExcellent problem-solving skills, coupled with exceptional reasoning and mathematical abilitiesProficient in English with excellent communication skills to foster effective collaboration within teamsPerks:Network with industry leaders around the globe to strengthen your professional journey.Relish the flexibility of remote operations, distancing yourself from the confines of traditional office boundaries.Receive a competitive salary, benchmarked against international standards.Make your mark on pioneering ventures that redefine the tech sphere and propel your professional growth.Are you ready to take your career to the next level? Engage with our tests and MCQs today to boost your prospects of landing this dynamic position within the tech industry. Apply Now!"
M-INSURE,Python Developer,Entry level,"We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications. In this role, you will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements in collaboration with front-end developers.To be successful as a Python developer, you should possess in-depth knowledge of object-relational mapping, experience with server-side logic, and above-average knowledge of Python programming. Ultimately, a top-class Python developer is able to design highly responsive web applications that perfectly meet the requirements.ResponsibilitiesCoordinating with development teams to determine application requirements.Writing scalable code using Python programming language.Testing and debugging applications.Developing back-end components.Integrating user-facing elements using server-side logic.Assessing and prioritizing client feature requests.Integrating data storage solutions.Coordinating with front-end developers.Reprogramming existing databases to improve functionality.Developing digital tools to monitor online traffic.RequirementsBachelor's degree in computer science, computer engineering, or related field from a reputed Tier-1 or Tier 2 college.Work experience as a Python Developer minimum 2 years.Expertise in at least one popular Python framework (like Django)Knowledge of Python libraries like Numpy, PandaKnowledge of Python scriptingTeam spiritGood problem-solving skillsThis job was posted by Shubhangi Nanda from M-Insure."
GrowthFalcons,Python Developer,Associate,"Python Developer Job RoleWe are looking for a Python Developer to join our engineering team and help usdevelop and maintain various software products.Python Developer responsibilities include writing and testing code, debugging programsand integrating applications with third-party web services. To be successful in this role,you should have experience using server-side logic and work well in a team.ResponsibilitiesWrite effective, scalable codeDevelop back-end components to improve responsiveness and overallperformanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsCoordinate with internal teams to understand user requirements andprovide technical solutionsRequirements1+ years of work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask, etc)Familiarity with working on 2-3 libraries and python data structures related to data science like data frame and libraries like pandas, bumpy, sklearn, etc..Familiarity with front-end technologies (like JavaScript and HTML5) would be a bonusAbility to work independentlyGood problem-solving skillsAdhere to delivery timelines very strictlyAbility to work with REST API, GraphQL will be appreciatedThe expertise of working with at least one database like MySQL, MongoDBAbility to learn things quicklySkills:- Python, Django, pandas, Javascript, Flask, MongoDB, MySQL, RESTful APIs and Data Science"
Quantsapp,Interesting Job Opportunity: Quantsapp - Junior Python Developer - Pandas/Numpy,Entry level,"Company SummaryFounded in 2016, Quantsapp is now India's Largest Option Analytics platform. Our application has been made to enable a systematic and smooth experience, making it easier for option enthusiasts to trade. We have more than 75 Analytical tool which cater data needs of all kinds of Option Traders.Our software engineers have worked tirelessly to develop products for financial professionals to transform the financial services industry as you know it today, into the dynamic and technology-driven industry of tomorrow. This includes bringing fresh ideas and making sure that Quantsapp's core values of collaboration, innovation, passion, integrity, and of course, fun are never compromised.Hard work pays off : we have more than 10,00,000 (and counting!) users of our application within such a short span of time. Currently, we are not only expanding our business in Mumbai, but we are also widening our horizons globally.For more details about our company & our products, the links are provided below :Website :  https : //www.quantsapp.com/Job SummaryAt Qauntsapp we are looking for a dynamic team mate to take up a role of Server side development to support the brain behind the application. You will be responsible for developing new logics / products / features as described by the business / research team. An ideal candidate should be strong in mathematical processes like optimizations, matrix algebra, differential equation, simulation process etc. and should also possess decent hands-on experience on python, sql server and preferably Aws. IIT graduation is a plus.Responsibilities Create algorithms from scratch Create products and backend API's as described by the business team Back-test and create hypothesis as desired by the research team Code the backend of logics for consumption by the UI team Deploy websockets, rest api's & dynamic tcp, udp based data flow Deployment and maintenance of codes with version controlRequirements Should possess a good knowledge of advanced computing and mathematical process Strong hands-on on Python and optionally Matlab Knowledge of databases like Sql & No Sql Ability to work with tight time lines In depth knowledge and good hands on experience on Pandas and Numpy Knowledge of Option Markets is a plus Excellent organizational and multitasking ability Experience on AWS Cloud is a plus Understanding and demonstrable skills in REST api development and knowledge of WebSocket servers and it's protocols Comfortable working with large data sets and managing large number of data sources Ability to integrate databases and various data sources into a unified system Understanding of multi-process architecture and threaded processes in python Good communication skills and ability to work independently, take initiative and ownership on projects Good hands on experience on web socket Should have worked on Kafka and Redis database(ref:hirist.tech)"
Talent Bee Consulting Pvt Ltd.,Python Developer,Mid-Senior level,"Company OverviewFounded in 2015 we are a US-based Technology company, dedicated to the creation of pioneering & user-friendly cloud solutions for Engineers and unsolved Engineering problems. From the start of our journey, we have focused on digitally transforming conventional industries by delivering software that bring cost and time efficiency to their processes. Our headquarters are in Detroit, Michigan and over the years we have expanded our presence to Houston (Texas), India and the UAE..Role And ResponsibilitiesWe are seeking a talented Python Developer to join our client's team. As a Python Developer, you will be responsible for developing and maintaining high-quality software applications, collaborating with cross-functional teams to define, design, and ship new features, and ensuring the performance, quality, and responsiveness of applications.ResponsibilitiesDevelop high-quality software design and architecture using PythonImplement and maintain efficient, reusable, and reliable Python codeIntegrate data storage solutions, such as databases, key-value stores, blob stores, etc.Collaborate with cross-functional teams to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugsEnsure the performance, quality, and responsiveness of applicationsHelp maintain code quality, organization, and automatizationSkills And QualificationsProficient in Python with a strong understanding of its ecosystemExperience with one or more Python frameworks (such as Django, Flask, etc.)Familiarity with ORM libraries and SQL databasesUnderstanding of server-side templating languages (such as Jinja 2, Mako, etc.)Knowledge of front-end technologies (like JavaScript, HTML5, and CSS3)Experience with version control systems (e.g., Git)Understanding of software development methodologies and best practicesStrong problem-solving and analytical skillsExcellent communication and teamwork skillsBachelor's degree in Computer Science, Engineering, or a related field (or equivalent experience)LocationBangaloreSalaryUp to 25 LPASkills: python,software development,backend development,django"
Quest Global,Python Developer,Associate,"We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.Ultimately, youll build highly responsive web applications that align with our business needs.Write effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutionsWrite effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutionsWork experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant fieldWork experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant field"
Coforge,Python Backend Developer,Mid-Senior level,"Skills- Python, Django, SQLExperience- 4-12 yearsLocation- Hyderabad Notice Period- Immediate Joiner Job Description- Backend development skills in Python with focus on OOP concepts, including frameworks like Django, flask, fast API Good experience with MySQL - designing the database schema, writing queries, etc. Knowledge of testing frameworks like pytest, unittest Strong problem solving skills and solutioning complex problems Experience in contributing to best coding practices and designing highly scalable, secure, and easy to maintain software solutions Experience in working in complex, cross-functional projects involving technology and business resources will be a plus Ability to continuously drive results, display a high level of confidence, inspire and motive team performance Able to work with leadership team for seeking help with architecture, driving continuous results Working closely with Product owners and other stakeholders to understand the requirements and design software solutions to meet the product requirements"
Colan Infotech Private Limited,Python Developer,Associate,"Greetings from Colan Infotech!!We are hiring for Python Developer at Chennai LocationSkillsExpert in Python, with knowledge of at least one Python web framework - Django or Flask or FastAPI etc.Excellent Programming skills in python with Panda & NumPyExperience with SQL & No SQL DatabaseStrong understanding of object-oriented programmingCode Optimization to improve the efficiencyExperience with Unit Testing (pytest or unittest)Ability to solve problems quickly and completelyHands on experience with Git & AgileHands on experience with AWS & Azure deployAWS lambdaAWS cognitoAWS dynamodbAWS servicesInterested candidates send your updated resume to vandana.m@colanonline.com"
NDOT,Python Developer,Associate,"We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team.Ultimately, youll build highly responsive web applications that align with our business needs.Write effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutionsWrite effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutionsWork experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant fieldWork experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant field"
Turing,Remote Python Programmer,Entry level,"Exciting opportunity: A U.S.-based client seeks a Python Developer.The successful applicant will take the reins in conducting peer code reviews, championing a culture of continuous improvement through thoughtful evaluation and constructive criticism.What You'll Do:Develop high-quality Python code to address intricate problems efficientlyUtilize business acumen and analytical capabilities to extract insights from public databasesClearly communicate reasoning and logic in code written in Jupyter notebooks or similar platformsCollaborate closely with researchers to exchange insights and findingsMaintain thorough documentation for all code developedLeverage data analysis skills to address important business queries using various datasets, including those available from Kaggle, the UN, and government databases.What We Need From You:Open to candidates of various experience levels, ranging from juniors to industry veteransPossession of a degree in Engineering, Computer Science, or comparable practical experienceGood understanding of Python programming language for both writing and debugging codeAbility to handle intermediate Python coding tasks and grasp fundamental algorithmic conceptsStrong problem-solving aptitude, supported by exceptional reasoning and mathematical skillsProficient in English with effective communication abilities essential for successful teamworkCool Stuff for You:Meet smart people in AI all over the place.Work from wherever you want.Get paid well in USD.Help in doing new things that change how tech works, and grow your career too.If you think you can help make the team even better, try out the tests and MCQs to get matched with these jobs quickly. Come work with us!"
Coforge,Python Developer,Mid-Senior level,"Role: Python with Machine LearningExp:4+ to 12 Yrs.Skill: Python, Machine Learning and NLPLocation: Noida and Gurgaon 4+ years experience working as an NLP Engineer or similar role Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and modelling  Ability to effectively design software architecture Deep understanding of text representation techniques (such as n-grams, bag of words, sentiment analysis etc), statistics and classification algorithms Expertise in Python. Expertise in data structures/algorithms. Experience with Machine Learning Libraries (like scikit-learn, pytorch and tensorflow) • An analytical mind with problem-solving abilities"
Greenmile Consultancy Services Pvt Ltd,Python Developer,Entry level,"Should have a very good grip on all facets of web development. As you would be working on a very early stage product, and a fast churning code base, you should be able to write good quality reusable modular code. Should have experience implementing secure and scalable REST API endpoints. Be able to take ownership of a product and work with non-technical folks to gather exact technical requirements. Should have a fair understanding of data modelling techniquesResponsibilitiesDeveloping quality Python and PHP code in accordance with industry development and security standards.Writing unit tests and integration tests for the code.Developing Modular, Reusable and maintainable solution.Documenting code and API.Troubleshooting identified bugs and providing documentation on resolutions and workarounds.Ensuring all code is correctly maintained in source control systems. Skills:- Python, Django, MySQL and PHP"
Tata Consultancy Services,Python Developer,Mid-Senior level,Dear CandidateTCS is Hiring for Python developer roleLocation: BangaloreExp: 4 to 12 YearsThanksSree Priya
